vial,spot,layer,analyte,mgl
347-21,25,Pel,Orthophosphate mg/l,0.018
332-21,10,Pel,Orthophosphate mg/l,NA
330-21,8,Pel,Orthophosphate mg/l,0.0014
333-21,11,Pel,Orthophosphate mg/l,0.002
342-21,20,Pel,Orthophosphate mg/l,0.0018
327-21,5,Pel,Orthophosphate mg/l,0.003
329-21,7,Pel,Orthophosphate mg/l,NA
352-21,30,Pel,Orthophosphate mg/l,0.036
334-21,12,Pel,Orthophosphate mg/l,0.0025
324-21,2,Pel,Orthophosphate mg/l,NA
335-21,13,Pel,Orthophosphate mg/l,NA
340-21,18,Pel,Orthophosphate mg/l,0.0035
339-21,17,Pel,Orthophosphate mg/l,0.0035
326-21,4,Pel,Orthophosphate mg/l,0.0016
323-21,1,Pel,Orthophosphate mg/l,0.0036
336-21,14,Pel,Orthophosphate mg/l,0.002
345-21,23,Pel,Orthophosphate mg/l,0.0043
337-21,15,Pel,Orthophosphate mg/l,0.0032
328-21,6,Pel,Orthophosphate mg/l,0.0023
325-21,3,Pel,Orthophosphate mg/l,0.0023
338-21,16,Pel,Orthophosphate mg/l,0.015
356-21,2,Int,Total N mg/l,1.2
371-21,17,Int,Total N mg/l,5.1
368-21,14,Int,Total N mg/l,3.3
373-21,19,Int,Total N mg/l,6.7
379-21,15,Int,Total N mg/l,5.1
379-21,25,Int,Total N mg/l,5.1
376-21,22,Int,Total N mg/l,2.1
365-21,11,Int,Total N mg/l,0.79
370-21,16,Int,Total N mg/l,1.1
385-21,31,Int,Total N mg/l,2
357-21,3,Int,Total N mg/l,1.6
366-21,12,Int,Total N mg/l,1.5
382-21,28,Int,Total N mg/l,1.8
362-21,8,Int,Total N mg/l,4.6
378-21,24,Int,Total N mg/l,1.7
383-21,29,Int,Total N mg/l,2.3
380-21,26,Int,Total N mg/l,4.7
359-21,5,Int,Total N mg/l,2.8
367-21,13,Int,Total N mg/l,11
372-21,18,Int,Total N mg/l,4.1
374-21,20,Int,Total N mg/l,4
364-21,10,Int,Total N mg/l,4
355-21,1,Int,Total N mg/l,4.7
377-21,23,Int,Total N mg/l,13
360-21,6,Int,Total N mg/l,1.7
363-21,9,Int,Total N mg/l,7
375-21,21,Int,Total N mg/l,9.1
361-21,7,Int,Total N mg/l,1.8
358-21,4,Int,Total N mg/l,1.4
384-21,30,Int,Total N mg/l,5.8
344-21,22,Pel,Total N mg/l,0.21
341-21,19,Pel,Total N mg/l,0.3
350-21,28,Pel,Total N mg/l,0.27
343-21,21,Pel,Total N mg/l,0.29
351-21,29,Pel,Total N mg/l,0.21
353-21,31,Pel,Total N mg/l,0.31
346-21,24,Pel,Total N mg/l,0.35
331-21,9,Pel,Total N mg/l,0.28
348-21,26,Pel,Total N mg/l,0.33
347-21,25,Pel,Total N mg/l,0.28
332-21,10,Pel,Total N mg/l,0.25
330-21,8,Pel,Total N mg/l,0.28
333-21,11,Pel,Total N mg/l,0.23
342-21,20,Pel,Total N mg/l,0.18
327-21,5,Pel,Total N mg/l,0.36
329-21,7,Pel,Total N mg/l,0.28
352-21,30,Pel,Total N mg/l,0.11
334-21,12,Pel,Total N mg/l,0.33
324-21,2,Pel,Total N mg/l,0.31
335-21,13,Pel,Total N mg/l,0.29
340-21,18,Pel,Total N mg/l,0.39
339-21,17,Pel,Total N mg/l,0.38
326-21,4,Pel,Total N mg/l,0.25
323-21,1,Pel,Total N mg/l,0.39
336-21,14,Pel,Total N mg/l,0.41
345-21,23,Pel,Total N mg/l,0.2
337-21,15,Pel,Total N mg/l,0.34
328-21,6,Pel,Total N mg/l,0.27
325-21,3,Pel,Total N mg/l,0.4
338-21,16,Pel,Total N mg/l,0.57
